PLAYER,2022-2023,2023-2024,2024-2025,2025-2026
Reggie Bullock,10012800,10489600,0,0
Alec Burks,10012800,10489600,0,0
Chet Holmgren,9891240,10386000,10880640,13731368
De'Andre Hunter,9835881,20089286,21696429,23303571
Larry Nance Jr,9672727,10375000,11205000,0
James Wiseman,9603360,12119440,15815870,0
Landry Shamet,9500000,10250000,11000000,11750000
Malik Monk,9472219,9945830,0,0
Jalen Green,9441840,9891480,12483048,16290377
Jakob Poeltl,9398148,0,0,0
Nerlens Noel,9391069,0,0,0
Dario Saric,9240000,0,0,0
Royce O'Neale,9200000,9500000,0,0
Monte Morris,9125000,9800926,0,0
Mason Plumlee,9080417,0,0,0
Alex Caruso,9030000,9460000,9890000,0
Maxi Kleber,9000000,11000000,11000000,11000000
Darius Garland,8920794,33500000,36180000,38860000
Jabari Smith,8882640,9326520,9770880,12350392
Kyle Anderson,8780488,9219512,0,0
Victor Oladipo,8750000,9450000,0,0
Daniel Theis,8694369,9108386,9522404,0
LaMelo Ball,8623920,10900635,14301633,0
Nicolas Claxton,8500000,8750000,0,0
Grayson Allen,8500000,8500000,0,0
Seth Curry,8496653,0,0,0
Evan Mobley,8478720,8882640,11227657,14730686
Gary Payton II,8300000,8715000,9130000,0
Dewayne Dedmon,8283688,2748674,2748674,0
De'Anthony Melton,8250000,8000000,0,0
JaMychal Green,8200000,0,0,0
TJ McConnell,8100000,8700000,9300000,0
Keegan Murray,8008440,8409000,8809560,11144093
Kevon Looney,8000000,8500000,9000000,0
Thaddeus Young,8000000,8000000,0,0
Isaiah Hartenstein,7804879,8195121,0,0
Delon Wright,7804878,8195122,0,0
Patrick Williams,7775400,9835881,12973527,0
Scottie Barnes,7644600,8008680,10130980,13362763
Cedi Osman,7426088,6718842,0,0
Coby White,7413955,9942113,0,0
Zach Collins,7350000,7700000,0,0
Taurean Prince,7295000,7650000,0,0
Jaden Ivey,7252200,7614480,7977240,10107163
Jae'Sean Tate,7065217,6500000,7065217,0
Isaac Okoro,7040880,8920794,11828974,0
Cody Martin,7000000,7560000,8120000,8680000
Jalen Suggs,6922320,7252080,9188385,12183799
Jaxson Hayes,6803012,9170460,0,0
Khem Birch,6667500,6985000,0,0
Bennedict Mathurin,6586800,6916080,7245720,9187573
Patrick Mills,6479000,6802950,0,0
Bruce Brown,6479000,6802950,0,0
Caleb Martin,6479000,6802950,7126900,0
Lonnie Walker,6479000,0,0,0
Joe Ingles,6479000,0,0,0
Onyeka Okongwu,6395160,8109063,10817490,0
Josh Giddey,6287400,6587040,8352367,11142057
Rui Hachimura,6263188,8486619,0,0
Rudy Gay,6184500,6479000,0,0
Jevon Carter,6025000,2239943,0,0
Shaedon Sharpe,6012960,6313800,6614160,8399983
Cameron Payne,6000000,6500000,0,0
Otto Porter,6000000,6300000,0,0
Justin Holiday,5987975,0,0,0
Cam Reddish,5954454,8109966,0,0
Cameron Johnson,5887899,8060533,0,0
Ricky Rubio,5853659,6146342,6439025,0
Killian Hayes,5837760,7413955,9942114,0
PJ Washington,5808435,7992407,0,0
Jonathan Kuminga,5739840,6012840,7636307,10240287
Pat Connaughton,5728393,9423869,9423869,9423869
Tyler Herro,5722116,27000000,29000000,31000000
Romeo Langford,5634257,7837251,0,0
Dyson Daniels,5508600,5784120,6059520,7707709
JaVale McGee,5461219,5734280,6007341,0
Goga Bitadze,5377520,2066585,0,0
Obi Toppin,5348280,6803012,9170460,0
Franz Wagner,5258280,5508720,7007092,9445560
Kendrick Nunn,5250000,0,0,0
Hamidou Diallo,5200000,0,0,0
Cory Joseph,5155500,0,0,0
Garrett Temple,5155500,5401000,0,0
Torrey Craig,5121951,0,0,0
Jeremy Sochan,5063520,5316960,5570040,7096231
David Nwaba,5022000,5394000,0,0
Nickeil Alexander-Walker,5009633,7073602,0,0
Furkan Korkmaz,5000000,5370370,0,0
Deni Avdija,4916160,6263188,8486619,0
Davion Mitchell,4833600,5063640,6451077,8741210
Johnny Davis,4810320,5050800,5291160,6746229
Ty Jerome,4728948,1761752,0,0
Ishmael Smith,4725000,0,0,0
Jalen Smith,4670160,5043773,5417386,0
Ziaire Williams,4591680,4810200,6133005,8353152
Ousmane Dieng,4569840,4798440,5027040,6670882
Moe Harkless,4564980,0,0,0
Donte DiVincenzo,4500000,4725000,0,0
Jeff Green,4500000,0,0,0
Devin Vassell,4437000,5887899,8060534,0
Matisse Thybulle,4379526,6275861,0,0
Jarred Vanderbilt,4374000,4698000,0,0
James Bouknight,4362240,4570080,6064496,8302295
Brandon Clarke,4343919,12500000,12500000,12500000
Jalen Williams,4341480,4558680,4775760,6580997
Grant Williams,4306281,6235494,0,0
Darius Bazley,4264628,6205035,0,0
Tyrese Haliburton,4215120,5808435,7992406,0
Nassir Little,4171548,6250000,6750000,7250000
Josh Primo,4144320,4341600,0,0
Jalen Duren,4124280,4330680,4536840,6483144
Gorgui Dieng,4105236,0,0,0
Danuel House,4105000,4310250,0,0
Boban Marjanovic,4101478,0,0,0
Justise Winslow,4097561,0,0,0
Dylan Windler,4037277,5959021,0,0
Stanley Johnson,4022164,0,0,0
Kira Lewis,4004280,5722116,7913686,0
George Hill,4000000,0,0,0
Terence Davis,4000000,0,0,0
Chris Duarte,3936960,4124400,5893768,8151081
Alex Len,3918600,0,0,0
Ochai Agbaji,3918360,4114200,4310280,6383525
Jordan Poole,3901399,28705357,30901786,33098215
Keldon Johnson,3873024,20000000,19000000,17500000
Sviatoslav Mykhailiuk,3846895,0,0,0
James Johnson,3841067,0,0,0
Aaron Nesmith,3804360,5634257,7837251,0
Moses Moody,3740160,3918480,5803269,8072347
Mark Williams,3722040,3908160,4094280,6276531
Cole Anthony,3613680,5539771,7744600,0
Corey Kispert,3552840,3722040,5705887,7976830
AJ Griffin,3536160,3712920,3889920,5967137
Goran Dragic,3523762,0,0,0
Mike Muscala,3500000,3500000,0,0
Georges Niang,3465000,0,0,0
Isaiah Stewart,3433320,5266713,7399731,0
Chuma Okeke,3433320,5266712,7399731,0
Trey Burke,3423750,0,0,0
Amir Coffey,3395062,3666667,3938271,0
Alperen Sengun,3375360,3536280,5424654,7621638
Tari Eason,3359160,3527160,3695160,5675766
Aleksej Pokusevski,3261480,5009633,7073602,0
Kevin Porter,3217631,18239000,18239000,18239000
